song,album,prev,lyric,next
Hand of God,Carnage,,There are some people trying to find out who,There are some people trying to find out why
Hand of God,Carnage,There are some people trying to find out who,There are some people trying to find out why,There are some people aren’t trying to find anything
Hand of God,Carnage,There are some people trying to find out why,There are some people aren’t trying to find anything,But that kingdom in the sky
Hand of God,Carnage,There are some people aren’t trying to find anything,But that kingdom in the sky,In the sky
Hand of God,Carnage,But that kingdom in the sky,In the sky,
Hand of God,Carnage,In the sky,,I’m going to the river
Hand of God,Carnage,,I’m going to the river,Where the current rushes by
Hand of God,Carnage,I’m going to the river,Where the current rushes by,I’m going to the river
Hand of God,Carnage,Where the current rushes by,I’m going to the river,Where the current rushes by
Hand of God,Carnage,I’m going to the river,Where the current rushes by,I’m gonna swim to the middle
Hand of God,Carnage,Where the current rushes by,I’m gonna swim to the middle,Where the water is real high
Hand of God,Carnage,I’m gonna swim to the middle,Where the water is real high,
Hand of God,Carnage,Where the water is real high,,Hand of God
Hand of God,Carnage,,Hand of God,Coming from the sky
Hand of God,Carnage,Hand of God,Coming from the sky,Hand of God
Hand of God,Carnage,Coming from the sky,Hand of God,Coming from the sky
Hand of God,Carnage,Hand of God,Coming from the sky,Gonna swim to the middle
Hand of God,Carnage,Coming from the sky,Gonna swim to the middle,Stay out there for a while
Hand of God,Carnage,Gonna swim to the middle,Stay out there for a while,Way down low
Hand of God,Carnage,Stay out there for a while,Way down low,Way down low
Hand of God,Carnage,Way down low,Way down low,Let the river cast its spell
Hand of God,Carnage,Way down low,Let the river cast its spell,Let the river cast its spell
Hand of God,Carnage,Let the river cast its spell,Let the river cast its spell,On me
Hand of God,Carnage,Let the river cast its spell,On me,
Hand of God,Carnage,On me,,Singing boy sitting on the bridge
Hand of God,Carnage,,Singing boy sitting on the bridge,Singing boy sitting on the bridge
Hand of God,Carnage,Singing boy sitting on the bridge,Singing boy sitting on the bridge,Throwing pennies off the edge
Hand of God,Carnage,Singing boy sitting on the bridge,Throwing pennies off the edge,Peasants working in the fields
Hand of God,Carnage,Throwing pennies off the edge,Peasants working in the fields,Keep their heads way down low
Hand of God,Carnage,Peasants working in the fields,Keep their heads way down low,Way down low
Hand of God,Carnage,Keep their heads way down low,Way down low,Don’t want to let on what they know
Hand of God,Carnage,Way down low,Don’t want to let on what they know,Way down low
Hand of God,Carnage,Don’t want to let on what they know,Way down low,Way down low
Hand of God,Carnage,Way down low,Way down low,Grab those pennies
Hand of God,Carnage,Way down low,Grab those pennies,"Count them, ten"
Hand of God,Carnage,Grab those pennies,"Count them, ten",Grab those pennies
Hand of God,Carnage,"Count them, ten",Grab those pennies,"Count them, ten"
Hand of God,Carnage,Grab those pennies,"Count them, ten",Hand of God
Hand of God,Carnage,"Count them, ten",Hand of God,Never come back up again
Hand of God,Carnage,Hand of God,Never come back up again,Let the river cast its spell
Hand of God,Carnage,Never come back up again,Let the river cast its spell,On me
Hand of God,Carnage,Let the river cast its spell,On me,
Hand of God,Carnage,On me,,You’re a body of water
Hand of God,Carnage,,You’re a body of water,Flowing across the bed
Hand of God,Carnage,You’re a body of water,Flowing across the bed,You’re a body of water
Hand of God,Carnage,Flowing across the bed,You’re a body of water,Spread across the hotel bed
Hand of God,Carnage,You’re a body of water,Spread across the hotel bed,Gonna swim to the middle
Hand of God,Carnage,Spread across the hotel bed,Gonna swim to the middle,Never come up again
Hand of God,Carnage,Gonna swim to the middle,Never come up again,Let the river cast its spell
