song,album,prev,lyric,next,artist
Zoo-Music Girl,Prayers on Fire,,Zoo-Music Girl Zoo-Music Girl,Our life together is a hollow tooth,The Birthday Party
Zoo-Music Girl,Prayers on Fire,Zoo-Music Girl Zoo-Music Girl,Our life together is a hollow tooth,"Spit out the shells, spit out the shells",The Birthday Party
Zoo-Music Girl,Prayers on Fire,Our life together is a hollow tooth,"Spit out the shells, spit out the shells",You know exactly what I’m talking about,The Birthday Party
Zoo-Music Girl,Prayers on Fire,"Spit out the shells, spit out the shells",You know exactly what I’m talking about,Don’t drag the orchestra into this thing,The Birthday Party
Zoo-Music Girl,Prayers on Fire,You know exactly what I’m talking about,Don’t drag the orchestra into this thing,"Rattle those sticks, rattle those sticks",The Birthday Party
Zoo-Music Girl,Prayers on Fire,Don’t drag the orchestra into this thing,"Rattle those sticks, rattle those sticks","The sound is beautiful, it’s perfect!",The Birthday Party
Zoo-Music Girl,Prayers on Fire,"Rattle those sticks, rattle those sticks","The sound is beautiful, it’s perfect!",The sound of her young legs in stockings,The Birthday Party
Zoo-Music Girl,Prayers on Fire,"The sound is beautiful, it’s perfect!",The sound of her young legs in stockings,"The rhythm of her walk, it’s beautiful",The Birthday Party
Zoo-Music Girl,Prayers on Fire,The sound of her young legs in stockings,"The rhythm of her walk, it’s beautiful","Just let it twist, let it break",The Birthday Party
Zoo-Music Girl,Prayers on Fire,"The rhythm of her walk, it’s beautiful","Just let it twist, let it break","Let it buckle, let it bend",The Birthday Party
Zoo-Music Girl,Prayers on Fire,"Just let it twist, let it break","Let it buckle, let it bend",I want the noise of my Zoo-Music Girl,The Birthday Party
Zoo-Music Girl,Prayers on Fire,"Let it buckle, let it bend",I want the noise of my Zoo-Music Girl,"Zoo-Music Girl, Zoo-Music Girl",The Birthday Party
Zoo-Music Girl,Prayers on Fire,I want the noise of my Zoo-Music Girl,"Zoo-Music Girl, Zoo-Music Girl",My body is a monster driven insane,The Birthday Party
Zoo-Music Girl,Prayers on Fire,"Zoo-Music Girl, Zoo-Music Girl",My body is a monster driven insane,My Heart is a fish toasted by flames,The Birthday Party
Zoo-Music Girl,Prayers on Fire,My body is a monster driven insane,My Heart is a fish toasted by flames,I kiss the hem of her skirt,The Birthday Party
Zoo-Music Girl,Prayers on Fire,My Heart is a fish toasted by flames,I kiss the hem of her skirt,We spend our lives in a box full of dirt,The Birthday Party
Zoo-Music Girl,Prayers on Fire,I kiss the hem of her skirt,We spend our lives in a box full of dirt,I murder her dress till it hurts,The Birthday Party
Zoo-Music Girl,Prayers on Fire,We spend our lives in a box full of dirt,I murder her dress till it hurts,I murder her dress and she loves it,The Birthday Party
Zoo-Music Girl,Prayers on Fire,I murder her dress till it hurts,I murder her dress and she loves it,If there is one thing I desire in the world,The Birthday Party
Zoo-Music Girl,Prayers on Fire,I murder her dress and she loves it,If there is one thing I desire in the world,Is to make love to my Zoo-Music Girl,The Birthday Party
Zoo-Music Girl,Prayers on Fire,If there is one thing I desire in the world,Is to make love to my Zoo-Music Girl,Zoo-Music Girl Zoo-Music Girl,The Birthday Party
Zoo-Music Girl,Prayers on Fire,Is to make love to my Zoo-Music Girl,Zoo-Music Girl Zoo-Music Girl,The sound is beautiful! It’s perfect!,The Birthday Party
Zoo-Music Girl,Prayers on Fire,Zoo-Music Girl Zoo-Music Girl,The sound is beautiful! It’s perfect!,I call out her name in the night,The Birthday Party
Zoo-Music Girl,Prayers on Fire,The sound is beautiful! It’s perfect!,I call out her name in the night,Zoo-Music Girl! Zoo-Music Girl!,The Birthday Party
Zoo-Music Girl,Prayers on Fire,I call out her name in the night,Zoo-Music Girl! Zoo-Music Girl!,I call her by her family name,The Birthday Party
Zoo-Music Girl,Prayers on Fire,Zoo-Music Girl! Zoo-Music Girl!,I call her by her family name,Zoo-Music Girl! Zoo-Music Girl!,The Birthday Party
Zoo-Music Girl,Prayers on Fire,I call her by her family name,Zoo-Music Girl! Zoo-Music Girl!,Oh! God! Please let me die beneath her fists,The Birthday Party
Zoo-Music Girl,Prayers on Fire,Zoo-Music Girl! Zoo-Music Girl!,Oh! God! Please let me die beneath her fists,Zoo-Music Girl! Zoo-Music Girl!,The Birthday Party
Zoo-Music Girl,Prayers on Fire,Oh! God! Please let me die beneath her fists,Zoo-Music Girl! Zoo-Music Girl!,Zoo-Music Girl! Zoo-Music Girl!,The Birthday Party
Zoo-Music Girl,Prayers on Fire,Zoo-Music Girl! Zoo-Music Girl!,Zoo-Music Girl! Zoo-Music Girl!,,The Birthday Party
Cry,Prayers on Fire,,When you walk outa here,When you walk out,The Birthday Party
Cry,Prayers on Fire,When you walk outa here,When you walk out,I gotta fill up that space,The Birthday Party
Cry,Prayers on Fire,When you walk out,I gotta fill up that space,Or fill up that no-space,The Birthday Party
Cry,Prayers on Fire,I gotta fill up that space,Or fill up that no-space,I’ll fill it up with tears,The Birthday Party
Cry,Prayers on Fire,Or fill up that no-space,I’ll fill it up with tears,I’ll fill it up with tears,The Birthday Party
Cry,Prayers on Fire,I’ll fill it up with tears,I’ll fill it up with tears,I’ll fill it up with tears,The Birthday Party
Cry,Prayers on Fire,I’ll fill it up with tears,I’ll fill it up with tears,I’ll fill it up with tears,The Birthday Party
Cry,Prayers on Fire,I’ll fill it up with tears,I’ll fill it up with tears,Cry Cry Cry Cry,The Birthday Party
Cry,Prayers on Fire,I’ll fill it up with tears,Cry Cry Cry Cry,Where no fish can swim,The Birthday Party
Cry,Prayers on Fire,Cry Cry Cry Cry,Where no fish can swim,Where no fish can swim,The Birthday Party
Cry,Prayers on Fire,Where no fish can swim,Where no fish can swim,Where no-fish can swim,The Birthday Party
Cry,Prayers on Fire,Where no fish can swim,Where no-fish can swim,Where no-fish can,The Birthday Party
Cry,Prayers on Fire,Where no-fish can swim,Where no-fish can,Cry Cry Cry,The Birthday Party
Cry,Prayers on Fire,Where no-fish can,Cry Cry Cry,,The Birthday Party
Cry,Prayers on Fire,Cry Cry Cry,,When you slam that door,The Birthday Party
Cry,Prayers on Fire,,When you slam that door,When that door slams,The Birthday Party
Cry,Prayers on Fire,When you slam that door,When that door slams,I gotta fill up that space,The Birthday Party
Cry,Prayers on Fire,When that door slams,I gotta fill up that space,And I’ll pack my suitcase,The Birthday Party
Cry,Prayers on Fire,I gotta fill up that space,And I’ll pack my suitcase,I’ll fill it up with clothes,The Birthday Party
Cry,Prayers on Fire,And I’ll pack my suitcase,I’ll fill it up with clothes,Or fill it up with no-clothes,The Birthday Party
Cry,Prayers on Fire,I’ll fill it up with clothes,Or fill it up with no-clothes,And I’ll pack it up with tears,The Birthday Party
Cry,Prayers on Fire,Or fill it up with no-clothes,And I’ll pack it up with tears,,The Birthday Party
Cry,Prayers on Fire,And I’ll pack it up with tears,,I’ll pack it up with tears,The Birthday Party
Cry,Prayers on Fire,,I’ll pack it up with tears,Cry Cry Cry Cry,The Birthday Party
Cry,Prayers on Fire,I’ll pack it up with tears,Cry Cry Cry Cry,Where no fish can swim,The Birthday Party
Cry,Prayers on Fire,Cry Cry Cry Cry,Where no fish can swim,Where no fish can swim,The Birthday Party
Cry,Prayers on Fire,Where no fish can swim,Where no fish can swim,Where no-fish can swim,The Birthday Party
Cry,Prayers on Fire,Where no fish can swim,Where no-fish can swim,Cry Cry Cry,The Birthday Party
Cry,Prayers on Fire,Where no-fish can swim,Cry Cry Cry,,The Birthday Party
Cry,Prayers on Fire,Cry Cry Cry,,When you say goodbye,The Birthday Party
Cry,Prayers on Fire,,When you say goodbye,When you say goodbye,The Birthday Party
Cry,Prayers on Fire,When you say goodbye,When you say goodbye,I’ll dig myself a hole,The Birthday Party
Cry,Prayers on Fire,When you say goodbye,I’ll dig myself a hole,And fill up that space,The Birthday Party
Cry,Prayers on Fire,I’ll dig myself a hole,And fill up that space,I’ll fill it up with flesh,The Birthday Party
Cry,Prayers on Fire,And fill up that space,I’ll fill it up with flesh,And I’ll fill it up with no-flesh,The Birthday Party
Cry,Prayers on Fire,I’ll fill it up with flesh,And I’ll fill it up with no-flesh,I’ll fill it up with tears,The Birthday Party
Cry,Prayers on Fire,And I’ll fill it up with no-flesh,I’ll fill it up with tears,I’ll fill it up with tears,The Birthday Party
Cry,Prayers on Fire,I’ll fill it up with tears,I’ll fill it up with tears,,The Birthday Party
Cry,Prayers on Fire,I’ll fill it up with tears,,Fish Swim Cry Fish Crryyy,The Birthday Party
Cry,Prayers on Fire,,Fish Swim Cry Fish Crryyy,,The Birthday Party
Nick the Stripper,Prayers on Fire,,Nick the Stripper,Hideous to the eye,The Birthday Party
Nick the Stripper,Prayers on Fire,Nick the Stripper,Hideous to the eye,Hideous to the eye,The Birthday Party
Nick the Stripper,Prayers on Fire,Hideous to the eye,Hideous to the eye,He’s a fat little insect,The Birthday Party
Nick the Stripper,Prayers on Fire,Hideous to the eye,He’s a fat little insect,A fat little insect,The Birthday Party
Nick the Stripper,Prayers on Fire,He’s a fat little insect,A fat little insect,And OOOOOOOOOH! here we go again,The Birthday Party
Nick the Stripper,Prayers on Fire,A fat little insect,And OOOOOOOOOH! here we go again,,The Birthday Party
Nick the Stripper,Prayers on Fire,And OOOOOOOOOH! here we go again,,Nick the Stripper,The Birthday Party
Nick the Stripper,Prayers on Fire,,Nick the Stripper,Dances on all fours,The Birthday Party
Nick the Stripper,Prayers on Fire,Nick the Stripper,Dances on all fours,Dances on all fours,The Birthday Party
Nick the Stripper,Prayers on Fire,Dances on all fours,Dances on all fours,He’s in his birthday suit,The Birthday Party
Nick the Stripper,Prayers on Fire,Dances on all fours,He’s in his birthday suit,He’s in his birthday suit,The Birthday Party
Nick the Stripper,Prayers on Fire,He’s in his birthday suit,He’s in his birthday suit,and OOOOOOOOOH! here we go again,The Birthday Party
Nick the Stripper,Prayers on Fire,He’s in his birthday suit,and OOOOOOOOOH! here we go again,,The Birthday Party
Nick the Stripper,Prayers on Fire,and OOOOOOOOOH! here we go again,,Nick the Stripper,The Birthday Party
Nick the Stripper,Prayers on Fire,,Nick the Stripper,Hideous to the eye,The Birthday Party
Nick the Stripper,Prayers on Fire,Nick the Stripper,Hideous to the eye,Hideous to the eye,The Birthday Party
Nick the Stripper,Prayers on Fire,Hideous to the eye,Hideous to the eye,He’s a fat little insect,The Birthday Party
Nick the Stripper,Prayers on Fire,Hideous to the eye,He’s a fat little insect,A fucked little insect,The Birthday Party
Nick the Stripper,Prayers on Fire,He’s a fat little insect,A fucked little insect,and OOOOOOOOOH! here we go again,The Birthday Party
Nick the Stripper,Prayers on Fire,A fucked little insect,and OOOOOOOOOH! here we go again,Insect Insect Insect Insect,The Birthday Party
Nick the Stripper,Prayers on Fire,and OOOOOOOOOH! here we go again,Insect Insect Insect Insect,,The Birthday Party
Figure of Fun,Prayers on Fire,,I am a figure of fun,Dead-pan and moribund,The Birthday Party
Figure of Fun,Prayers on Fire,I am a figure of fun,Dead-pan and moribund,All the things I do are better left undone,The Birthday Party
Figure of Fun,Prayers on Fire,Dead-pan and moribund,All the things I do are better left undone,I am a figure of fun,The Birthday Party
Figure of Fun,Prayers on Fire,All the things I do are better left undone,I am a figure of fun,,The Birthday Party
Figure of Fun,Prayers on Fire,I am a figure of fun,,And I bake in the sun,The Birthday Party
Figure of Fun,Prayers on Fire,,And I bake in the sun,I have no luck in Love,The Birthday Party
Figure of Fun,Prayers on Fire,And I bake in the sun,I have no luck in Love,I have no luck in anything,The Birthday Party
Figure of Fun,Prayers on Fire,I have no luck in Love,I have no luck in anything,I am a figure of fun,The Birthday Party
Figure of Fun,Prayers on Fire,I have no luck in anything,I am a figure of fun,,The Birthday Party
Figure of Fun,Prayers on Fire,I am a figure of fun,,And I’m impressed by everyone,The Birthday Party
Figure of Fun,Prayers on Fire,,And I’m impressed by everyone,But I impress no one,The Birthday Party
Figure of Fun,Prayers on Fire,And I’m impressed by everyone,But I impress no one,It’s irritating,The Birthday Party
Figure of Fun,Prayers on Fire,But I impress no one,It’s irritating,I am a figure of fun,The Birthday Party
Figure of Fun,Prayers on Fire,It’s irritating,I am a figure of fun,,The Birthday Party
Figure of Fun,Prayers on Fire,I am a figure of fun,,I am a figure of fun,The Birthday Party
Figure of Fun,Prayers on Fire,,I am a figure of fun,I have money,The Birthday Party
Figure of Fun,Prayers on Fire,I am a figure of fun,I have money,But money isn’t everything to a figure of,The Birthday Party
Figure of Fun,Prayers on Fire,I have money,But money isn’t everything to a figure of,Fun fun fun fun fun fun,The Birthday Party
Figure of Fun,Prayers on Fire,But money isn’t everything to a figure of,Fun fun fun fun fun fun,,The Birthday Party
King Ink,Prayers on Fire,,King Ink strolls into town,He sniffs around,The Birthday Party
King Ink,Prayers on Fire,King Ink strolls into town,He sniffs around,,The Birthday Party
King Ink,Prayers on Fire,He sniffs around,,King Ink kicks off his stink-boot,The Birthday Party
King Ink,Prayers on Fire,,King Ink kicks off his stink-boot,Sand and soot and dust and dirt and,The Birthday Party
King Ink,Prayers on Fire,King Ink kicks off his stink-boot,Sand and soot and dust and dirt and,He’s much bigger than you think,The Birthday Party
