song,album,prev,lyric,next,artist
DIG!!! LAZARUS DIG!!!,DIG!!! LAZARUS DIG!!!,,"dig yourself, LAZARUS!!!!!!","DIG YOURSELF, LAZARUS!!!!!!!!!!!!!!!!!!!",Nick Cave & The Bad Seeds
DIG!!! LAZARUS DIG!!!,DIG!!! LAZARUS DIG!!!,"dig yourself, LAZARUS!!!!!!","DIG YOURSELF, LAZARUS!!!!!!!!!!!!!!!!!!!","dig yourself, LAZARUS!!!!!!!!",Nick Cave & The Bad Seeds
DIG!!! LAZARUS DIG!!!,DIG!!! LAZARUS DIG!!!,"DIG YOURSELF, LAZARUS!!!!!!!!!!!!!!!!!!!","dig yourself, LAZARUS!!!!!!!!",(dig yourself back in that hole),Nick Cave & The Bad Seeds
DIG!!! LAZARUS DIG!!!,DIG!!! LAZARUS DIG!!!,"dig yourself, LAZARUS!!!!!!!!",(dig yourself back in that hole),Larry made his nest up in the autumn branches,Nick Cave & The Bad Seeds
DIG!!! LAZARUS DIG!!!,DIG!!! LAZARUS DIG!!!,(dig yourself back in that hole),Larry made his nest up in the autumn branches,built from nothing but high hopes & thin air,Nick Cave & The Bad Seeds
DIG!!! LAZARUS DIG!!!,DIG!!! LAZARUS DIG!!!,Larry made his nest up in the autumn branches,built from nothing but high hopes & thin air,he collected up some BABY-BLASTED mothers,Nick Cave & The Bad Seeds
DIG!!! LAZARUS DIG!!!,DIG!!! LAZARUS DIG!!!,built from nothing but high hopes & thin air,he collected up some BABY-BLASTED mothers,they took their chances,Nick Cave & The Bad Seeds
DIG!!! LAZARUS DIG!!!,DIG!!! LAZARUS DIG!!!,he collected up some BABY-BLASTED mothers,they took their chances,& for a while lived quite happily up there,Nick Cave & The Bad Seeds
DIG!!! LAZARUS DIG!!!,DIG!!! LAZARUS DIG!!!,they took their chances,& for a while lived quite happily up there,"he came from NEW YORK CITY, but he couldn’t take the pace",Nick Cave & The Bad Seeds
DIG!!! LAZARUS DIG!!!,DIG!!! LAZARUS DIG!!!,& for a while lived quite happily up there,"he came from NEW YORK CITY, but he couldn’t take the pace",(thought it was like DOGGY-DOG-WORLD),Nick Cave & The Bad Seeds
DIG!!! LAZARUS DIG!!!,DIG!!! LAZARUS DIG!!!,"he came from NEW YORK CITY, but he couldn’t take the pace",(thought it was like DOGGY-DOG-WORLD),then he went to SAN FRANCISCO,Nick Cave & The Bad Seeds
DIG!!! LAZARUS DIG!!!,DIG!!! LAZARUS DIG!!!,(thought it was like DOGGY-DOG-WORLD),then he went to SAN FRANCISCO,(spent a year in outer space),Nick Cave & The Bad Seeds
DIG!!! LAZARUS DIG!!!,DIG!!! LAZARUS DIG!!!,then he went to SAN FRANCISCO,(spent a year in outer space),w/ a sweet little san franciscan girl,Nick Cave & The Bad Seeds
DIG!!! LAZARUS DIG!!!,DIG!!! LAZARUS DIG!!!,(spent a year in outer space),w/ a sweet little san franciscan girl,I can hear my mother wailing,Nick Cave & The Bad Seeds
DIG!!! LAZARUS DIG!!!,DIG!!! LAZARUS DIG!!!,w/ a sweet little san franciscan girl,I can hear my mother wailing,& a whole lot of scraping of chairs!!!!!!!!,Nick Cave & The Bad Seeds
DIG!!! LAZARUS DIG!!!,DIG!!! LAZARUS DIG!!!,I can hear my mother wailing,& a whole lot of scraping of chairs!!!!!!!!,I don’t know what it is,Nick Cave & The Bad Seeds
DIG!!! LAZARUS DIG!!!,DIG!!! LAZARUS DIG!!!,& a whole lot of scraping of chairs!!!!!!!!,I don’t know what it is,but there is definitely something going on upstairs,Nick Cave & The Bad Seeds
DIG!!! LAZARUS DIG!!!,DIG!!! LAZARUS DIG!!!,I don’t know what it is,but there is definitely something going on upstairs,"dig yourself, LAZARUS!!!!!!",Nick Cave & The Bad Seeds
DIG!!! LAZARUS DIG!!!,DIG!!! LAZARUS DIG!!!,but there is definitely something going on upstairs,"dig yourself, LAZARUS!!!!!!","DIG YOURSELF, LAZARUS!!!!!!!!!!!!!!!!!!!",Nick Cave & The Bad Seeds
