song,album,prev,lyric,next
Jesus Alone,Skeleton Tree,,You fell from the sky,Crash landed in a field
Jesus Alone,Skeleton Tree,You fell from the sky,Crash landed in a field,Near the river Adur
Jesus Alone,Skeleton Tree,Crash landed in a field,Near the river Adur,Flowers spring from the ground
Jesus Alone,Skeleton Tree,Near the river Adur,Flowers spring from the ground,Lambs burst from the wombs of their mothers
Jesus Alone,Skeleton Tree,Flowers spring from the ground,Lambs burst from the wombs of their mothers,In a hole beneath the bridge
Jesus Alone,Skeleton Tree,Lambs burst from the wombs of their mothers,In a hole beneath the bridge,"She convalesce, she fashioned masks of twigs and clay"
Jesus Alone,Skeleton Tree,In a hole beneath the bridge,"She convalesce, she fashioned masks of twigs and clay",You cried beneath the dripping trees
Jesus Alone,Skeleton Tree,"She convalesce, she fashioned masks of twigs and clay",You cried beneath the dripping trees,Ghost song lodged in the throat of a mermaid
Jesus Alone,Skeleton Tree,You cried beneath the dripping trees,Ghost song lodged in the throat of a mermaid,With my voice
Jesus Alone,Skeleton Tree,Ghost song lodged in the throat of a mermaid,With my voice,I am calling you
Jesus Alone,Skeleton Tree,With my voice,I am calling you,You’re a young man waking
Jesus Alone,Skeleton Tree,I am calling you,You’re a young man waking,Covered in blood that is not yours
Jesus Alone,Skeleton Tree,You’re a young man waking,Covered in blood that is not yours,You’re a woman in a yellow dress
Jesus Alone,Skeleton Tree,Covered in blood that is not yours,You’re a woman in a yellow dress,Surrounded by a charm of hummingbirds
Jesus Alone,Skeleton Tree,You’re a woman in a yellow dress,Surrounded by a charm of hummingbirds,You’re a young girl full of forbidden energy
Jesus Alone,Skeleton Tree,Surrounded by a charm of hummingbirds,You’re a young girl full of forbidden energy,Flickering in the gloom
Jesus Alone,Skeleton Tree,You’re a young girl full of forbidden energy,Flickering in the gloom,You’re a drug addict lying on your back
Jesus Alone,Skeleton Tree,Flickering in the gloom,You’re a drug addict lying on your back,In a Tijuana hotel room
Jesus Alone,Skeleton Tree,You’re a drug addict lying on your back,In a Tijuana hotel room,With my voice
Jesus Alone,Skeleton Tree,In a Tijuana hotel room,With my voice,I am calling you
Jesus Alone,Skeleton Tree,With my voice,I am calling you,With my voice
Jesus Alone,Skeleton Tree,I am calling you,With my voice,I am calling you
Jesus Alone,Skeleton Tree,With my voice,I am calling you,You’re an African doctor harvesting tear ducts
Jesus Alone,Skeleton Tree,I am calling you,You’re an African doctor harvesting tear ducts,You believe…
Jesus Alone,Skeleton Tree,You’re an African doctor harvesting tear ducts,You believe…,
Rings of Saturn,Skeleton Tree,,"Upside down and inside out and on all eights like a funnel web, like a black fly on the ceiling, skinny white haunches high and skyward and her black oily gash, crawling backwards across the carpet to smash all over everything her wet, black fur against the sun going down over the shops and the cars and the crowds and the town.",
Rings of Saturn,Skeleton Tree,"Upside down and inside out and on all eights like a funnel web, like a black fly on the ceiling, skinny white haunches high and skyward and her black oily gash, crawling backwards across the carpet to smash all over everything her wet, black fur against the sun going down over the shops and the cars and the crowds and the town.",,And this is the moment this is exactly what she is born to be
Rings of Saturn,Skeleton Tree,,And this is the moment this is exactly what she is born to be,This is what she does and this is what she is.
Rings of Saturn,Skeleton Tree,And this is the moment this is exactly what she is born to be,This is what she does and this is what she is.,And this is the moment this is exactly what she is born to be
