song,album,prev,lyric,next
Avalanche,From Her To Eternity,,I stepped into an avalanche,It covered up my soul
Avalanche,From Her To Eternity,I stepped into an avalanche,It covered up my soul,When I am not this hunchback that you see
Avalanche,From Her To Eternity,It covered up my soul,When I am not this hunchback that you see,I sleep beneath the golden hill
Avalanche,From Her To Eternity,When I am not this hunchback that you see,I sleep beneath the golden hill,"You, who wish to conquer pain"
Avalanche,From Her To Eternity,I sleep beneath the golden hill,"You, who wish to conquer pain","You, must learn, learn to serve me well"
Avalanche,From Her To Eternity,"You, who wish to conquer pain","You, must learn, learn to serve me well",
Avalanche,From Her To Eternity,"You, must learn, learn to serve me well",,You strike my side by accident
Avalanche,From Her To Eternity,,You strike my side by accident,As you go down to your goal
Avalanche,From Her To Eternity,You strike my side by accident,As you go down to your goal,This cripple here that you clothe and feed
Avalanche,From Her To Eternity,As you go down to your goal,This cripple here that you clothe and feed,Is neither starved nor cold
Avalanche,From Her To Eternity,This cripple here that you clothe and feed,Is neither starved nor cold,He does not ask for your company
Avalanche,From Her To Eternity,Is neither starved nor cold,He does not ask for your company,"Not at the centre, the centre of the world"
Avalanche,From Her To Eternity,He does not ask for your company,"Not at the centre, the centre of the world",
Avalanche,From Her To Eternity,"Not at the centre, the centre of the world",,And I am on a pedestal
Avalanche,From Her To Eternity,,And I am on a pedestal,You did not raise me there
Avalanche,From Her To Eternity,And I am on a pedestal,You did not raise me there,Your laws do not compel me now
Avalanche,From Her To Eternity,You did not raise me there,Your laws do not compel me now,To kneel grotesque and bare
Avalanche,From Her To Eternity,Your laws do not compel me now,To kneel grotesque and bare,"I, myself, am the pedestal"
Avalanche,From Her To Eternity,To kneel grotesque and bare,"I, myself, am the pedestal",For this ugly hump at which you stare
Avalanche,From Her To Eternity,"I, myself, am the pedestal",For this ugly hump at which you stare,
Avalanche,From Her To Eternity,For this ugly hump at which you stare,,You who wish to conquer pain
Avalanche,From Her To Eternity,,You who wish to conquer pain,You must learn what makes me kind
Avalanche,From Her To Eternity,You who wish to conquer pain,You must learn what makes me kind,The crumbs of love that you offer me
Avalanche,From Her To Eternity,You must learn what makes me kind,The crumbs of love that you offer me,Are the crumbs I’ve left behind
Avalanche,From Her To Eternity,The crumbs of love that you offer me,Are the crumbs I’ve left behind,Your pain is no credential here
Avalanche,From Her To Eternity,Are the crumbs I’ve left behind,Your pain is no credential here,It’s just a shadow of my wound
Avalanche,From Her To Eternity,Your pain is no credential here,It’s just a shadow of my wound,
Avalanche,From Her To Eternity,It’s just a shadow of my wound,,I have begun to ask for you
Avalanche,From Her To Eternity,,I have begun to ask for you,"I, who have no greed"
Avalanche,From Her To Eternity,I have begun to ask for you,"I, who have no greed",I have begun to long for you
Avalanche,From Her To Eternity,"I, who have no greed",I have begun to long for you,"I, who have no need"
Avalanche,From Her To Eternity,I have begun to long for you,"I, who have no need",You say you’ve gone away from me
Avalanche,From Her To Eternity,"I, who have no need",You say you’ve gone away from me,But I can feel you when you breathe
Avalanche,From Her To Eternity,You say you’ve gone away from me,But I can feel you when you breathe,
Avalanche,From Her To Eternity,But I can feel you when you breathe,,Do not dress in those rags for me
Avalanche,From Her To Eternity,,Do not dress in those rags for me,I know you are not poor
Avalanche,From Her To Eternity,Do not dress in those rags for me,I know you are not poor,And do not love me quite so fiercely now
Avalanche,From Her To Eternity,I know you are not poor,And do not love me quite so fiercely now,When you know that you are not sure
Avalanche,From Her To Eternity,And do not love me quite so fiercely now,When you know that you are not sure,"It is your turn, my beloved one"
Avalanche,From Her To Eternity,When you know that you are not sure,"It is your turn, my beloved one",It is your flesh that I wear
Avalanche,From Her To Eternity,"It is your turn, my beloved one",It is your flesh that I wear,
Cabin Fever,From Her To Eternity,,The Captain’s fore-arm like bunched-up rope,With A-N-I-T-A wriggling free on a skull’n’dagger
Cabin Fever,From Her To Eternity,The Captain’s fore-arm like bunched-up rope,With A-N-I-T-A wriggling free on a skull’n’dagger,"And a portrait of Christ, nailed to an anchor"
Cabin Fever,From Her To Eternity,With A-N-I-T-A wriggling free on a skull’n’dagger,"And a portrait of Christ, nailed to an anchor",Etched into his upper…
