song,album,prev,lyric,next,artist,year
Song of the Lake,Wild God,,On the shore of the lake an old man sat,And watched a woman bathing,Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,On the shore of the lake an old man sat,And watched a woman bathing,With its golden touch the light was such,Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,And watched a woman bathing,With its golden touch the light was such,That the moment was worth saving,Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,With its golden touch the light was such,That the moment was worth saving,,Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,That the moment was worth saving,,And he sang the song of the lake,Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,,And he sang the song of the lake,The song of the lake,Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,And he sang the song of the lake,The song of the lake,"And all the king’s horses, and all—",Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,The song of the lake,"And all the king’s horses, and all—","Ah, never mind, never mind",Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,"And all the king’s horses, and all—","Ah, never mind, never mind",,Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,"Ah, never mind, never mind",,He knew that he would dissolve,Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,,He knew that he would dissolve,If he followed her into the lake,Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,He knew that he would dissolve,If he followed her into the lake,But also knew that if he remained,Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,If he followed her into the lake,But also knew that if he remained,"Upon the shore he would, in time, evaporate",Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,But also knew that if he remained,"Upon the shore he would, in time, evaporate",,Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,"Upon the shore he would, in time, evaporate",,He sang the song of the lake,Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,,He sang the song of the lake,The song of the lake,Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,He sang the song of the lake,The song of the lake,And all the king’s horses—,Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,The song of the lake,And all the king’s horses—,"Ah, never mind, never mind",Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,And all the king’s horses—,"Ah, never mind, never mind",,Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,"Ah, never mind, never mind",,He knew that even though he had found,Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,,He knew that even though he had found,Heaven such as described in the ancient scrolls,Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,He knew that even though he had found,Heaven such as described in the ancient scrolls,Still he felt the drag of hell,Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,Heaven such as described in the ancient scrolls,Still he felt the drag of hell,Upon his old and mortal soul,Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,Still he felt the drag of hell,Upon his old and mortal soul,,Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,Upon his old and mortal soul,,And he sang the song of the lake,Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,,And he sang the song of the lake,And all the king’s horses—,Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,And he sang the song of the lake,And all the king’s horses—,"Oh Lord, never mind, never mind",Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,And all the king’s horses—,"Oh Lord, never mind, never mind",,Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,"Oh Lord, never mind, never mind",,For every evil under the sun,Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,,For every evil under the sun,"If there be one, seek it till you find",Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,For every evil under the sun,"If there be one, seek it till you find",For there’s either a remedy or there is none,Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,"If there be one, seek it till you find",For there’s either a remedy or there is none,"If there be none, never mind, never mind",Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,For there’s either a remedy or there is none,"If there be none, never mind, never mind","Never mind, never mind",Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,"If there be none, never mind, never mind","Never mind, never mind","Ah, never mind, never mind",Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,"Never mind, never mind","Ah, never mind, never mind",,Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,"Ah, never mind, never mind",,"Oh never mind, never mind, never mind",Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,,"Oh never mind, never mind, never mind",Cause all the king’s horses and all the king’s men,Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,"Oh never mind, never mind, never mind",Cause all the king’s horses and all the king’s men,Couldn’t put us back together again,Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,Cause all the king’s horses and all the king’s men,Couldn’t put us back together again,"Oh my darling, well, where will we go now?",Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,Couldn’t put us back together again,"Oh my darling, well, where will we go now?","Oh my darling, where will we go?",Nick Cave & The Bad Seeds,2024
Song of the Lake,Wild God,"Oh my darling, well, where will we go now?","Oh my darling, where will we go?","Never mind, never mind",Nick Cave & The Bad Seeds,2024
